run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,10,10,,0.1187015976218181,0.1179260423333005,0.1022206893263663,0,0.0,inf,12135.769823789597,0.0021656320019309352,0.002218485340348948
2,10,10,,0.117649979554533,0.1168512076201541,0.100836181988989,0,0.0,inf,12203.803022146223,0.001800165540172121,0.0020434454222142966
3,10,10,,0.1169170980317697,0.1161137113350766,0.0978447534336628,0,0.0,inf,12208.596686840056,0.0016661476498518444,0.0017356120401333737
4,10,10,,0.1192571854687754,0.118468350408139,0.1019063083705615,0,0.0,inf,12231.536893129349,0.0019531241901383594,0.002102892245657323
5,10,10,,0.1162177922465925,0.1154220323345059,0.1026975991953735,0,0.0,inf,12178.094313383102,0.0019440522245715538,0.002298316270389862
6,10,10,,0.1172892630710246,0.1164861030963544,0.101337856673084,0,0.0,inf,12217.189492940905,0.001821847573492987,0.0022051487543840245
7,10,10,,0.1176219294609536,0.1168255293790661,0.099896266526526,0,0.0,inf,12263.507738113403,0.0017614316523231167,0.001976299232835512
8,10,10,,0.1214323322474401,0.1206579401796518,0.1028624625935388,0,0.0,inf,12156.975909948347,0.0022718685687946683,0.0024258778421238545
9,10,10,,0.1180759921179498,0.1172878004811696,0.101544262969239,0,0.0,inf,12152.829505443571,0.0019362341078720173,0.002305618840741272
10,10,10,,0.1200998869892473,0.119326775881046,0.1059058304299425,0,0.0,inf,12143.220388412476,0.0018568006831842794,0.0023100723589515905
