run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,10,10,,0.1153469627150004,0.1145483293044091,0.0961920586938181,0.5446565769057644,0.5309149516834373,0.3527327552455905,0.6890118201229086,0.6878182338598526,0.8389297916346264,0.0,0.0,inf,14162.237831592558,0.0016685283130823533,0.001959612853394242
2,10,10,,0.1145364604465409,0.113742640846651,0.0999002968140236,0.572244653571232,0.5586084498905374,0.4183129829399936,0.6608579526362593,0.6595660299876616,0.8217517183482951,0.0,0.0,inf,14334.164553403854,0.0018339942805219104,0.0019435838032541217
3,10,10,,0.1128297927353438,0.1120266588996339,0.0986160549094483,0.5032873046062747,0.4867624798070106,0.2913865802264022,0.6885032164843099,0.6873550004666791,0.8387052504550254,0.0,0.0,inf,14288.637993574142,0.0016940622601217422,0.0017817506997294063
4,10,10,,0.1141280983507725,0.1133411656033242,0.0996603780288107,0.5360299429932514,0.5219557522167055,0.3582656019156339,0.6966832059014645,0.6955332807299107,0.8507967264244142,0.0,0.0,inf,14341.960282087326,0.0016450538849433851,0.0019075521871740292
5,10,10,,0.1183265876478122,0.117560214979377,0.1019402422014976,0.550279627345616,0.5363389198133599,0.345017410226794,0.6779431035133053,0.6767189412246996,0.8318468464722617,0.0,0.0,inf,14329.107666015623,0.001772830600146522,0.00205129060827736
6,10,10,,0.1121382334226371,0.11134445137074,0.0932127324696128,0.5131138175641502,0.4979542071212289,0.338302911854805,0.6456105210784231,0.6442370642519074,0.8086279977719412,0.0,0.0,inf,14364.588452100754,0.0014090455549700285,0.0017373250247414212
7,10,10,,0.1151832013577917,0.1143865176630281,0.09893098734725,0.538603366126304,0.5246541085959876,0.3537441842334194,0.6842496114241398,0.6830514366710881,0.8341669008457372,0.0,0.0,inf,14260.903262138369,0.0014340924780076108,0.0019194075838118209
8,10,10,,0.1068010623074386,0.1060023591857417,0.0882415670371168,0.5169296517029739,0.501760053537098,0.3465207835984222,0.6070481788001196,0.6055478609970355,0.7626573536452941,0.1612903225806451,0.2277131782945736,1.2740587211611016,14254.75384426117,0.0011900178951668493,0.0017011199279530792
9,10,10,,0.1186560548329438,0.1178876049417139,0.1027659413720994,0.5634677386565697,0.550109524531515,0.3562447653297921,0.6912657648529668,0.6900704672175033,0.8476966062929576,0.0,0.0,inf,13252.300539255142,0.002046794355829058,0.0022099418801014704
10,10,10,,0.1186125056625996,0.1178372784717964,0.1003953143642184,0.5257882941327493,0.5114810088850189,0.3355632661442957,0.7059729622050547,0.7048436043274892,0.8518090042188238,0.0,0.0,inf,12079.197191238403,0.0019437645644323671,0.002153385665141437
