run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,10,10,,0.2644125389998547,0.03506989749286,0.0014333823483568,0.0986784140969163,0.4008530422423597,0.3616945944491549,48189.76442670822,0.001966964837721419,0.0019208474018461875
2,10,10,,0.2675449378011134,0.0370346914593702,0.0018315767139788,0.096085409252669,0.3912430739580824,0.4145731076341009,48139.80590415001,0.002004048735335566,0.0019258747359778533
3,10,10,,0.266186013080431,0.0385345204303857,0.0018548790293408,0.1009573542210617,0.4092616760759586,0.3716854387580618,44392.09583449363,0.001917909845115344,0.001963430408415769
4,10,10,,0.2652068922412482,0.0371078498603305,0.0014059668754454,0.0946180555555555,0.3857847234387976,0.4362295254447998,34651.04789686203,0.0020106577007171548,0.0020420071909511136
5,10,10,,0.2658987130580211,0.0379878017485266,0.001609500376916,0.0893442622950819,0.3660455502304919,0.4234784754305847,34712.25414633752,0.0019518913622826757,0.00189607727393692
6,10,10,,0.2644344508143164,0.0371432758296885,0.0015694221852075,0.0896455872133425,0.3671785198058988,0.3637214773883208,34946.791275024414,0.001918242661111553,0.001959736604820137
7,10,10,,0.2637941704475207,0.0362002230897142,0.0012733017043205,0.0984703632887189,0.4000836565853142,0.3485973677923771,34849.046026706696,0.0019158312404769842,0.002103756007630963
8,10,10,,0.2644788267576286,0.0362884680563882,0.00161903263071,0.1014705882352941,0.4111505616257314,0.3547902733518908,34735.970611572266,0.0019314671525115887,0.0020227930222441065
9,10,10,,0.2666693492815694,0.0379369433939829,0.00158239624412,0.0858505564387917,0.352863445912414,0.3619471125631877,34759.88625526428,0.001955586326983506,0.0019520133478329543
10,10,10,,0.2630135959042858,0.0341367493044995,0.0014352321921081,0.1121103117505995,0.449915864783662,0.3698594846230222,34771.2816286087,0.0019761812667129,0.001882150794700015
