run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,10,10,,0.2638534654195958,0.0337410299178422,0.0012294471962149,0.5422074196726362,0.5415876786866981,0.3908518376519528,0.8258006146706799,0.8240134282811435,0.7490243648612381,0.2206703910614525,0.8068248559664429,0.0243790207834762,54658.80179929733,0.0019445426305911627,0.0018213312501142848
2,10,10,,0.2619709256662588,0.0335689781724977,0.0014284482183674,0.5351227586731794,0.5344901006341825,0.3792478002998702,0.8063665753605456,0.8043509402290198,0.7787564396776027,0.2430555555555555,0.8476976750044082,0.0145266145267904,54611.07515215874,0.001820159240017863,0.0019979143308277774
3,10,10,,0.2591952576370946,0.0313578326880111,0.0013664481193533,0.4844412177118514,0.4837376426570948,0.3165312558310109,0.8255641637057043,0.8237537493325796,0.7761039941903729,0.2218890554722638,0.8104714511840594,0.0251838832836641,44787.857294559486,0.001882923955713227,0.0018812750479652264
4,10,10,,0.260996110940941,0.032842201511437,0.0012584225555538,0.5111552491951167,0.5104893465936848,0.3534634781968378,0.8274604697881198,0.8256654786055362,0.7801468773715384,0.2205056179775281,0.8033408717673666,0.0265415697043101,37896.65674996377,0.0019287577437077676,0.001837202691825423
5,10,10,,0.2606394667853549,0.0317327965415686,0.0013591998992517,0.5183593660016984,0.5177042594288666,0.3539102541727453,0.8240429056568879,0.8222138698361282,0.781062982395057,0.2484980884762425,0.771287108568904,0.025600455502155,38030.65891098976,0.0019306454592799703,0.0018701235769589795
6,10,10,,0.2619422799898334,0.0334332448093687,0.0012532535482633,0.5089871717524566,0.5083193000680287,0.3462074788623997,0.8030047262857213,0.8009603296705482,0.7622044403256037,0.221596724667349,0.8066198141011108,0.0296712086238011,37992.514964580536,0.0018561361545079947,0.002047258298780097
7,10,10,,0.2612691675520082,0.0329971908542089,0.0013713269667759,0.5310926578793633,0.5304541803720513,0.3769109788153731,0.8329093481530181,0.8311757207296412,0.7909268691035277,0.2170835299669655,0.7960495557908048,0.0324587460978947,37940.43222308159,0.0018990008173896435,0.0018847021564050756
8,10,10,,0.2607564421352767,0.0316344508022281,0.0013006105474567,0.5161500802595073,0.5154923031508584,0.3506941268896946,0.8262858651970499,0.8244824876700073,0.7820687896599355,0.2210095497953615,0.7874894546373743,0.0250055069956275,37944.13205337525,0.0019136554031133563,0.001854853435941492
9,10,10,,0.2597056771937563,0.0314828003256653,0.0011699962413585,0.4822812338185702,0.4815756291123102,0.3029487963603705,0.8427206325258123,0.8410843763247727,0.8377931527773628,0.2172557172557172,0.7965682751946636,0.0244725613347069,37762.07711148262,0.0019400466117377032,0.0019208838492803671
10,10,10,,0.2612031781857456,0.0328831336893277,0.0012339372322506,0.4773076737773774,0.4765959002809277,0.3071593221524396,0.7417555205536015,0.7390884368516893,0.6463039057542602,0.2318840579710145,0.8040202106486671,0.0248328326219805,20392.62924909592,0.0018431288148732944,0.0019628976390897836
