run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,25,25,,0.0062700880870688,0.0037420409659135,-0.0117794790376809,0.0643530955880987,0.0476553506724064,0.0433042710511695,0.1329740539049701,0.1080017072175666,0.2280276110645651,0,0.0,inf,9872.444814682009,0.0006251398707590354,0.0006526693478865714
2,25,25,,0.0034404635085798,0.0009750905449442,-0.0070065066740539,0.0570657742474923,0.0407254262394739,0.0338899135018313,0.1321070687098807,0.1086673757980973,0.2130462854772219,0,0.0,inf,9803.63326215744,0.0006619100608759524,0.0010473786750368561
3,25,25,,0.0043601599602985,0.0019809036275769,-0.0070244722749261,0.0525678261382643,0.03561033904763,0.0302591116548426,0.1361815758921494,0.1120173646699844,0.2387687746645455,0,0.0,inf,9835.94649720192,0.0005585453286343007,0.0010560314790547022
4,25,25,,0.0076738495360228,0.0048453308495304,-0.0213543417029504,0.0684652484484259,0.0522205992292307,0.0498019247294247,0.1297028821595395,0.1041536310223994,0.2227578812104905,0,0.0,inf,9889.57116150856,0.0012991088607411812,0.0008552681713171489
5,25,25,,0.0065210464427586,0.0034174590325711,-0.0186142722696107,0.0670100887898884,0.0511105909403347,0.0434927733498577,0.1100472411474445,0.0823668098692431,0.0809992019796338,0,0.0,inf,9988.1459774971,0.002514010203905869,0.004261987892553041
6,25,25,,0.0072257473959107,0.0041412515778306,-0.0210217313988088,0.0675677349615762,0.0519931762391618,0.0532367003779131,0.1310376905578093,0.102377431773866,0.153334377545059,0,0.0,inf,9969.189223289492,0.0023875217926001093,0.0014193112176407964
7,25,25,,0.0042081251136991,0.0018873757299411,-0.0068575575699178,0.0529887036203896,0.0359177395682949,0.0303508830214313,0.1378205181292494,0.1126135648429215,0.2442053238949756,0,0.0,inf,9703.260413885117,0.0004077395026738677,0.0006745988652555448
8,25,25,,0.0052733205631597,0.0025370391328384,-0.0148920696097156,0.063408695896624,0.0483788906122253,0.0558968946252162,0.1357231158632628,0.1087347070837641,0.1470598311940125,0,0.0,inf,9659.374011516573,0.0020432278739689652,0.002451125668281686
9,25,25,,0.0057581478193762,0.0032930217288433,-0.0088059450665237,0.0544723889544367,0.0373979806705163,0.0346191941991403,0.127642676953816,0.1054432295073833,0.207505970447286,0,0.0,inf,9633.917366027832,0.0006911452143575593,0.0009749969034702778
10,25,25,,0.0051216638796475,0.0025168184742009,-0.0104479151502703,0.0590839356498146,0.0421330229800561,0.0401522473038355,0.1276768738813776,0.1044687295710685,0.2129146393355611,0,0.0,inf,7943.385755300523,0.0007302162654484626,0.0008809721851351108
