run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,25,25,3988155.668397866,0.0817037855527735,0.0609310686748814,0.0218808983865,0.1696428571428571,0.5125983232013721,0.4235895153459196,5176.061762332916,0.0037826927563853283,0.004187016476897752
2,25,25,3987252.781490709,0.0877134127107181,0.0670103125687424,0.0241040837733919,0.2051282051282051,0.6015711564558096,0.2990566947574558,5207.2079367637625,0.0037534823112661793,0.00427527107661636
3,25,25,3987711.2038322273,0.080890116814223,0.0600043710352149,0.0202887783840833,0.2127659574468085,0.6196181574314695,0.3030191836905653,5495.473326921463,0.0036778418723395954,0.004275246840809512
4,25,25,3986684.332395028,0.0944843902199175,0.0739731573579429,0.0265098900782527,0.2261904761904762,0.6479076686822152,0.2421364681146841,5443.626267671585,0.0036741589985244583,0.004428495599437896
5,25,25,3985971.477439224,0.0916577607017535,0.0711747427975239,0.022266043698286,0.1774193548387097,0.5325552874788588,0.3397647899665723,5139.602991819382,0.00392405615394187,0.0045019972111131085
6,25,25,3986004.589762126,0.0906292296662234,0.0700983122238711,0.0284524165236649,0.2068965517241379,0.6058680932876369,0.3434063598535618,5045.175394296646,0.0037428572729218865,0.004437795953543864
7,25,25,3985427.9695030376,0.0932686410108978,0.0726281722677964,0.0260305140882989,0.2121212121212121,0.6033930423681481,0.3190062174645127,5138.98669219017,0.0038322405244586703,0.00468497954487487
8,25,25,3987266.01673537,0.0894619506981437,0.0689632331617894,0.0220831566878038,0.2230769230769231,0.6436267375009097,0.2842078739388763,4749.995351076126,0.0034828029264798734,0.0043888719508223045
9,25,25,3984776.3311401824,0.0976850940117634,0.0770192309079918,0.0292602011996103,0.1428571428571428,0.4417788180222352,0.5747699479313861,4766.815741300583,0.004185644206142003,0.0045342007374065615
10,25,25,3984632.899051752,0.0989217543664951,0.0784277055436253,0.0264201112893701,0.0425531914893617,0.1442543079256278,0.7892840400767266,4937.501156806946,0.004369044488359999,0.004504869513867583
