run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,25,25,3984844.5644157375,0.0947241878656736,0.0741349660286519,0.0268493529389694,0.4730502846335236,0.4637648102795159,0.2458098940631161,0.5729050789731307,0.560018998016812,0.5426896981782664,0.2276422764227642,0.6553540081919251,0.148217793833854,5759.248201608659,0.0040951450434458065,0.004804544374908026
2,25,25,3985372.147934512,0.092293573008268,0.0718970596803671,0.0234272709600664,0.4681477161244413,0.4588501896398979,0.2392841380583751,0.5553626953985501,0.5421480411828262,0.4460635667308881,0.2424242424242424,0.6896059598395867,0.1429070513771899,5469.025649309157,0.0036627313364877567,0.004680147939695954
3,25,25,3986907.956161912,0.0818808158253002,0.0610759353130188,0.0249361859727847,0.4438712827545462,0.4341959288410697,0.2150780549290657,0.5414755329216094,0.5276666446963499,0.5019495835273653,0.2307692307692307,0.6626682270333528,0.1614169115965122,5457.330220937729,0.0037649809708123895,0.004465233651410193
4,25,25,3984837.938911487,0.088205152153508,0.0676168982278387,0.0247277427326595,0.4837197543409314,0.4746465474367173,0.275288629601182,0.5821119695912618,0.5696725289595035,0.53620571384682,0.1864406779661017,0.5553790855136671,0.1728399372882107,5472.791173934937,0.004043397527019765,0.004401233213777299
5,25,25,3983998.9653981742,0.0972834517271593,0.076742080125921,0.033280209909862,0.5084024467591339,0.499748549841433,0.286754395967888,0.6066477420051222,0.5946154777405616,0.4975167460095384,0.2236024844720497,0.6458492364995114,0.1577254970206109,5172.11027431488,0.004382928621687231,0.004763986712937422
6,25,25,3984960.108553773,0.0916766795069306,0.0710162094171052,0.0249844209321993,0.4833727718349911,0.4742366485888684,0.2693312818979277,0.5642213362720062,0.551103248629167,0.5139319597860406,0.1636363636363636,0.4970011702750146,0.2259131181218783,5142.353296279907,0.0038288460654378174,0.003837793198833435
7,25,25,3984803.84477977,0.0916406915535017,0.071128490994356,0.0216533909125248,0.4595917068703186,0.4499577534178339,0.23000710894685,0.5580259179946794,0.5449604463505643,0.4569167305163701,0.2365591397849462,0.6761136693209862,0.150127594295776,5032.348134756088,0.003836902707267565,0.004487016165825509
8,25,25,3984188.0269341385,0.0921378631147062,0.0715492952543221,0.0257012892234354,0.4844460843947996,0.4753676589066479,0.2672826389904194,0.5655718172392349,0.5526088671203492,0.5348942963103178,0.1651376146788991,0.5009145653165502,0.189264665342639,5040.653415203095,0.004218797848347029,0.004589507427194863
9,25,25,3986328.534789629,0.0861628253804292,0.0654842589229671,0.0218768759663464,0.4755810835736722,0.4663874780747641,0.2667707942255787,0.5777580654220076,0.5651196578770668,0.5296424967548964,0.15,0.4609865927188541,0.1898706580225047,5038.973672389984,0.0038749260277949316,0.0041826877180457306
10,25,25,3985859.641628402,0.0996831803923081,0.0792770775084782,0.0298748408891708,0.4927667971169595,0.4838562874179458,0.2611336227499798,0.5815683068249049,0.5690480377176405,0.5406960039064564,0.23,0.6608723781796039,0.1550678989706342,5035.211016416551,0.0038881297836997545,0.004837015678879795
