run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,10,10,16698.605900554263,0.1233727630841226,0.0035256084395765,-0.0101432826189593,0.446158250479784,0.4384321955144997,0.2496552225981324,0.2948268086407324,0.2475112012125462,0.1533903275917249,0.4074074074074074,0.630349294471432,0.1521113465883917,1884.860808610916,0.0354599275916228,0.01911405885502326
2,10,10,16985.84818541727,0.1337316304970836,0.0098131860548354,-0.0112067711249074,0.2824014102684372,0.2726587543948717,0.1248465372629559,0.1658696943772277,0.110190234850511,0.0656703567819551,0.5126050420168067,0.7834341231287796,0.0570320511473235,2805.460762500763,0.005419712156635869,0.0048743360785377015
3,10,10,17068.80756411771,0.1217044247542507,-0.0040128165589804,-0.0142063156341047,0.3753865797849445,0.3668753886112395,0.1938053182806551,0.2144258392178238,0.1619161982090435,0.0821299261819047,0.4336283185840708,0.6933842239185751,0.0854551799101974,3580.703943490982,0.010937213604505584,0.009696281272258368
4,10,10,17943.814571742543,0.1128213687406918,-0.0039611722175691,-0.0094935693446118,0.4568743921780911,0.4491597577912863,0.2634253940014442,0.2923048631049865,0.2456364454515048,0.1515830444851099,0.4523809523809524,0.5360863095238095,0.2108036738344803,3562.5539984703064,0.038274755748183474,0.02112952513469881
5,10,10,17934.61067329398,0.1233730460402253,0.0026688385243129,-0.0111282667095239,0.4576378343710338,0.4500470597892066,0.26082508647594,0.3263283383512018,0.2817939978419301,0.1708635410253962,0.2941176470588235,0.6009174311926605,0.1202004923580182,3558.8664383888245,0.04027949668179666,0.023633371275104502
6,10,10,16992.906913722458,0.1298663676564103,0.0042771544128718,0.0035062092283454,0.3757257731975742,0.3672635914448817,0.1903163374923759,0.220186941800306,0.1689799124348791,0.0831773923908128,0.4712643678160919,0.7816331251445755,0.0441086202014672,3555.617820262909,0.018426245914319333,0.011109018002120706
7,10,10,17987.08901257019,0.1180490594363298,-0.0017019008245438,-0.0122538340544599,0.4634182898467138,0.4557900583124691,0.2636215812405525,0.3035709367296628,0.2578169594344652,0.1428962820028244,0.1666666666666666,0.3777195281782437,0.3399888693925133,3566.4948737621307,0.04617986048662893,0.023558744012231698
8,10,10,16989.22885930286,0.1302884877602042,0.0048347735091383,-0.005854925614413,0.3422841329237128,0.3333279440350565,0.1751803795252863,0.1665196053726336,0.1110005499374574,0.0515837844436919,0.4782608695652174,0.8342858309180717,0.0421497219857733,3557.878401041031,0.008523242388904785,0.0062040280801221245
9,10,10,17896.541475803195,0.1117559799986784,-0.0060406711775488,-0.0151324770423748,0.4492298004894617,0.4414286999200737,0.2622412405922439,0.3221071621977681,0.2777931708935295,0.1739371518628976,0.3333333333333333,0.4467385912698413,0.3216972895127291,3555.552832365036,0.038794705322626216,0.022011694900498723
10,10,10,18030.9957222527,0.1090432872087986,-0.0118055365515501,-0.0238753147826573,0.4482370108038537,0.4404190675065805,0.2653408920383555,0.2977643200867061,0.24986693844288,0.1410975158443049,0.450261780104712,0.5360863095238095,0.2333050412520756,3583.764477968216,0.040777271602054965,0.028418197426852216
