run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,reconstruction_error,balance_chierichetti,balance_bera,KL_fairness_error,time
0,8,8,0.0,0.0,0.00921226504767,0.00634946755066,0.00532351212897,0.00817690087411,0.00219481852554,0.00574045283169,1.0,1.0,1.0,0.0,0.0,0.414414414414,0.751129125651,0.063030260346
1,8,8,0.0,0.0,0.0127803704249,0.00896550135216,0.00775442533596,0.0364774027116,0.0181664387575,0.00772726517025,0.995419700046,0.992354754969,0.997626962422,0.0,0.0,0,0.0,inf
2,8,8,0.0,0.0,0.0110737595778,0.00768714493379,0.00718218195743,0.00610836151691,-0.000408644347344,0.00220416602224,0.999248592778,0.99860272764,0.999546521258,0.0,0.0,0.430379746835,0.771359613837,0.0457343608117
3,8,8,0.0,0.0,0.0125532737418,0.00876526423241,0.00706213327411,0.0547153103795,0.0308204074666,0.00211560952114,0.981090902552,0.971426514231,0.988713722826,0.0,0.0,0.314606741573,0.393488372093,0.411687143667
4,8,8,0.0,0.0,0.0108659489673,0.00756205418684,0.00560851269678,0.0169146709189,0.00500951509616,-0.000551530723943,0.991928172567,0.987167852467,0.995361092106,0.0,0.0,0.421052631579,0.759595959596,0.0638419209082
5,8,8,0.0,0.0,0.0115098745509,0.00800579935078,0.00665023957856,0.103469342408,0.0653444591603,0.0116069398707,0.71604924004,0.714848298594,0.491431493845,0.0,0.0,0.4,0.468438538206,0.32961288713
6,8,8,0.0,0.0,0.0129037273759,0.00901040280884,0.00757295551779,0.0138146390905,0.00292372475295,0.00297986229605,1.0,1.0,1.0,0.0,0.0,0.461538461538,0.614825581395,0.16800199305
7,8,8,0.0,0.0,0.0102170321155,0.00708568029819,0.0065918123605,0.0362446543967,0.0177323141035,0.00270713965964,0.993460244406,0.989669710074,0.996112846456,0.0,0.0,0.42,0.577301015395,0.181372119889
8,8,8,0.0,0.0,0.00799690052777,0.00545485196858,0.00497924193535,0.0160532119273,0.00428288895378,0.0077084388434,0.977200633758,0.966571464718,0.983828384102,0.0,0.0,0.483333333333,0.546511627907,0.258075242835
9,8,8,0.0,0.0,0.0142523555512,0.0100150772899,0.0100128770076,0.0257064124764,0.00999270988155,0.00535806014961,0.981301218427,0.972368258048,0.986961872532,0.0,0.0,0.285714285714,0.569696969697,0.298723747463
