run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,reconstruction_error_recovered,balance_chierichetti,balance_bera,KL_fairness_error,time
0,2,8,0.0,0.0,0.00921226504767,0.00634946755066,0.00532351212897,0.0,0,0.0,inf,9.32700014114
1,3,10,0.0,0.0,0.0136462927623,0.00946326749908,0.00773079753158,0.0,0,0.0,inf,9.41900014877
2,3,9,0.0,0.0,0.0111745229313,0.00769608319831,0.00716374546889,0.0,0,0.0,inf,9.33700013161
3,3,10,0.0,0.0,0.0144523074183,0.00995118942851,0.00672139432238,0.0,0,0.0,inf,10.5680000782
4,3,10,0.0,0.0,0.0118081244075,0.00810612771015,0.00544437823472,0.0,0,0.0,inf,8.55800008774
5,6,10,0.0,0.0,0.0440664273572,0.0314561330514,0.0400039278792,0.0,0,0.0,inf,8.63800001144
6,4,8,0.0,0.0,0.0129037273759,0.00901040280884,0.00757295551779,0.0,0,0.0,inf,8.34200000763
7,3,9,0.0,0.0,0.0107470507087,0.00739534854587,0.0064021532956,0.0,0,0.0,inf,8.52800011635
8,4,10,0.0,0.0,0.010387907303,0.00700813594792,0.00454060549392,0.0,0,0.0,inf,8.42499995232
9,4,9,0.0,0.0,0.0161523726698,0.0112477754277,0.00963687009332,0.0,0,0.0,inf,8.49499988556
