run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,reconstruction_error_recovered,balance_chierichetti,balance_bera,KL_fairness_error,time
0,10,1,4.29895510035e-07,0.499999736798,0.231527550986,0.00947868883173,0.000492318620814,0.0,0,0.0,inf,8123.34399986
1,10,2,2.00689679399e-05,0.000321076215627,0.283333068647,0.014482669296,0.000792309817412,0.0,0,0.0,inf,8177.9059999
2,10,1,2.47605381072e-07,0.499999736798,0.297307951195,0.0232470841277,0.00205971605324,0.0,0,0.0,inf,8077.89899993
3,10,1,2.54007510625e-07,0.499999736798,0.291696383997,0.017182739393,0.00103369823005,0.0,0,0.0,inf,8123.33300018
4,10,1,1.86367069735e-07,0.499999736798,0.302143997935,0.0198154227902,0.00155446038521,0.0,0,0.0,inf,8130.27399993
5,10,1,3.51317664925e-07,0.499999736798,0.250307980634,0.010769552624,0.000360277972632,0.0,0,0.0,inf,8151.61599994
6,10,1,3.54146951135e-07,0.499999736798,0.256952506935,0.0129128069859,0.00159295098649,0.0,0,0.0,inf,8074.08200002
7,10,2,0.000114481686915,0.000683972965419,0.291223575011,0.0155852719952,0.000273740577361,0.0,0,0.0,inf,8115.87299991
8,10,1,3.17869649418e-07,0.499999736798,0.277738694509,0.0127903613947,0.00061586971602,0.0,0,0.0,inf,8051.99199986
9,10,1,2.09633918576e-07,0.499999736798,0.293310664956,0.0161191668015,0.000177274161942,0.0,0,0.0,inf,8072.72899985
