run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,reconstruction_error,balance_chierichetti,balance_bera,KL_fairness_error,time
0,7,7,0.0,0.0,0.183079047279,0.161599873093,0.107724518309,0.436869395621,0.414188634465,0.414073498056,0.762060033064,0.710433511486,0.681401687356,0.0,0.0,0.2,0.707036423841,0.040026301972
1,7,7,0.0,0.0,0.173408230363,0.138555200137,0.156740669443,0.527327690224,0.454239128003,0.492009795461,0.209301218499,0.154381910871,-0.0391552338406,0.0,0.0,0.185185185185,0.766108574328,0.0375390601633
2,7,7,0.0,0.0,0.07376206376,0.0557433403202,0.00545448616385,0.71988664168,0.644367948167,0.767279047278,0.925783302291,0.896526214434,0.97127112279,0.0,0.0,0,0.0,inf
3,7,7,0.0,0.0,0.101809416079,0.0809592680992,0.0643130697853,0.417600705777,0.411110123035,0.47528051294,0.954163116545,0.9309034099,0.979186932663,0.0,0.0,0.114285714286,0.475515666824,0.0877400578638
4,7,7,0.0,0.0,0.159044008289,0.143479220337,0.0887977107772,0.420847545506,0.382207599836,0.450151656863,0.975172722503,0.962672497636,0.989601269862,0.0,0.0,0.136363636364,0.574581430746,0.0602709188227
5,7,7,0.0,0.0,0.139441744227,0.109870771226,0.0298957752559,0.396230606426,0.366027320509,0.470361416763,0.983569702209,0.974539657526,0.994511372771,0.0,0.0,0.15671641791,0.681655629139,0.0462943993456
6,7,7,0.0,0.0,0.140772059033,0.118906367656,0.0451884627323,0.446029204256,0.437064407403,0.521717297046,0.741399320029,0.690149287123,0.698381326699,0.0,0.0,0.194630872483,0.772712958589,0.0370649818189
7,7,7,0.0,0.0,0.123620220734,0.11223825492,0.0490079033446,0.337329429784,0.297041784264,0.376278405055,0.550582662468,0.522288634645,0.279854449369,0.0,0.0,0.142222222222,0.659609176103,0.0428208112174
8,7,7,0.0,0.0,0.169917808595,0.139386725633,0.102108549617,0.515563456228,0.50699022306,0.503748360695,0.981063149761,0.971120609288,0.9938832923,0.0,0.0,0.143790849673,0.624236616119,0.0310098819827
9,7,7,0.0,0.0,0.112265951739,0.0925963413931,0.0548078252407,0.375470711301,0.352683163042,0.417217920835,0.990075123992,0.984570372253,0.99770399756,0.0,0.0,0.203539823009,0.776963103122,0.0238975874029
