run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,reconstruction_error_recovered,balance_chierichetti,balance_bera,KL_fairness_error,time
0,7,10,0.0,0.0,0.166254313644,0.155007210112,0.08244803612,0.0,0,0.0,inf,825.944999933
1,5,10,0.0,0.0,0.0614686408591,0.0312906612543,-0.0118850528097,0.0,0,0.0,inf,828.842999935
2,6,10,0.0,0.0,0.075864609871,0.0574403555631,0.00519982473301,0.0,0,0.0,inf,842.49000001
3,5,10,0.0,0.0,0.101917607642,0.0811043342521,0.0626127762471,0.0,0,0.0,inf,849.947000027
4,6,9,0.0,0.0,0.159543678282,0.144396168583,0.0890727277981,0.0,0,0.0,inf,826.100999832
5,8,9,0.0,0.0,0.141805137117,0.111880529499,0.0301528133788,0.0,0,0.0,inf,837.665999889
6,4,10,0.0,0.0,0.127652250736,0.113352035845,0.033551893083,0.0,0,0.0,inf,841.536000013
7,6,9,0.0,0.0,0.0986693211084,0.0823051135904,0.0662796946565,0.0,0,0.0,inf,843.510999918
8,5,9,0.0,0.0,0.171154529603,0.140815916212,0.103464667568,0.0,0,0.0,inf,827.25
9,6,9,0.0,0.0,0.113426719168,0.0931229866966,0.0545512860822,0.0,0,0.0,inf,847.961999893
