run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,reconstruction_error_recovered,balance_chierichetti,balance_bera,KL_fairness_error,time
0,5,10,0.0,0.0,0.124607496321,0.107498879219,0.0639609926646,0.0,0,0.0,inf,788.907999992
1,5,10,0.0,0.0,0.143558032562,0.130847612219,0.0774873330603,0.0,0,0.0,inf,763.730000019
2,5,10,0.0,0.0,0.117775673764,0.106903334958,0.0594945038271,0.0,0,0.0,inf,756.729000092
3,7,10,0.0,0.0,0.164436717675,0.146834039688,0.0427496587248,0.0,0,0.0,inf,751.720000029
4,5,9,0.0,0.0,0.105003250179,0.0827842121993,0.03392565676,0.0,0,0.0,inf,741.687999964
5,7,10,0.0,0.0,0.136744227801,0.117012624935,0.0692007369972,0.0,0,0.0,inf,749.430999994
6,6,10,0.0,0.0,0.131201372337,0.118040598527,0.075292025991,0.0,0,0.0,inf,751.794999838
7,6,10,0.0,0.0,0.132373066196,0.119859993386,0.0566982445004,0.0,0,0.0,inf,758.924999952
8,5,10,0.0,0.0,0.147248451426,0.122248399492,0.151285975348,0.0,0,0.0,inf,735.870999813
9,9,10,0.0,0.0,0.14116996929,0.130516862043,0.0293754320307,0.0,0,0.0,inf,733.756999969
