run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,reconstruction_error_recovered,balance_chierichetti,balance_bera,KL_fairness_error,time
0,5,10,0.0,0.0,0.133086302321,0.0212930582926,0.0509343960787,0.0,0,0.0,inf,5.95300006866
1,5,10,0.0,0.0,0.126424782909,0.000863039443478,-0.00536617413429,0.0,0,0.0,inf,5.73000001907
2,5,10,0.0,0.0,0.122668806066,-0.00314595903174,0.0130895493603,0.0,0,0.0,inf,5.62800002098
3,5,10,0.0,0.0,0.131545682387,0.00139832553928,0.0064987530118,0.0,0,0.0,inf,5.4350001812
4,4,10,0.0,0.0,0.126666150451,-0.000240153985252,-0.00630287844796,0.0,0,0.0,inf,5.65500020981
5,7,10,0.0,0.0,0.116938920873,-0.0095345277395,-0.0129215540877,0.0,0,0.0,inf,5.64600014687
6,4,10,0.0,0.0,0.139782525213,0.00692182734555,0.00144824767299,0.0,0,0.0,inf,6.06299996376
7,6,10,0.0,0.0,0.114743003909,-0.00960213316901,-0.00677240862015,0.0,0,0.0,inf,6.03799986839
8,5,10,0.0,0.0,0.119535447364,-0.00918891263697,-0.0104956875396,0.0,0,0.0,inf,6.1890001297
9,6,10,0.0,0.0,0.120807666243,-0.00558188962794,0.00201616214583,0.0,0,0.0,inf,6.10699987411
