RevId,firstname,helpfulVotes,totalVotes,RevText,rating,RevTitle,Unix.RevTime,month,year,Category,gender,genderprobability,female,male,helpfulnessT,reviewwords,titlewords
AIWIEN0F9YDRZ,amy,0,1,"MY son works on the railroad and these gloves are perfect for his job. He likes the styling. One caveat, they do not keep hands warm in sub zero weather.",5,good looking and functional,1389398400,1,2014,Home and Tools,female,0.99,1,0,0,30,4
A3PNHWIMESAO1O,ann,0,1,"I just decided to go with the Moen DN6718ORB Danbury 18-Inch Towel Bar, instead.  visually it worked better in the space I had.",3,this product was fine,1389139200,1,2014,Home and Tools,female,0.99,1,0,0,23,4
AU2FLCLW8W04P,liz,0,1,Fit well into our sparkling grape juice bottle that we used at our reception for our wedding.  Makes a great lamp!  Glad to have a SECOND one with this so we can do something else with a wine bottle in the future!,5,Fit Well,1389052800,1,2014,Home and Tools,female,1,1,0,0,42,2
A1C6HTWGSMORUB,beth,0,6,"I thought that my teenagers would like these kits for a unique Christmas gift.  They did not like them, however. We received them in good time and they were packaged well, presumably with all parts.When I tried to return them, I ran into some issues.  First I called the company and was told that they were not returnable items.  Then when I explained that I did not see that information anywhere on Amazon when I ordered them, I was directed to return through Amazon.  Grizzly still needed to respond to my return request through Amazon after a few days of submitting my request, I was told that return shipping would be deducted from my refund AND a 10% restocking fee. (A restocking fee for two boxes that were about the same size as shoe boxes!)  Again, I don't think I could find this information again on Amazon if I tried!  So my $56.00 purchase was returned and I was credited approximately $39.00.  I'm actually ok with the return shipping, I just can't believe that there was a restocking fee for these little boxes!I would not purchase anything from Grizzly again in the future!",1,"The Product was good, but customer service not so good",1389398400,1,2014,Home and Tools,female,1,1,0,0,193,10
AZ7OW7KDTEHCG,judy,0,1,"with this thing , It might be good for getting rust off of car or something but too rough for house hold stuff",1,I ruined my sinks,1389744000,1,2014,Home and Tools,female,1,1,0,0,23,4
A326T7B8O4EFS3,lara,0,2,"as a steel ruler it's ok, but it is not what I was looking for and that was a slide rule, guess they dont make them any more.",3,I was looking for a slide rule,1389052800,1,2014,Home and Tools,female,1,1,0,0,28,7
A2WVI8BDWVX58J,lila,0,1,"My husband was very happy with the quality of this product, I purchased it as one of his Christmas gifts and he is very happy with it.",5,Bosch drill bits,1388707200,1,2014,Home and Tools,female,0.99,1,0,0,27,3
A1TDJJMU3VOHPY,lisa,0,1,not what I thought I was getting.wanted meat gloves - for handling and slicing/cutting meatthese are for working with glass,3,so-so,1390435200,1,2014,Home and Tools,female,1,1,0,0,20,1
A3AEQWXRLJ4D5E,lisa,0,1,"My husband has had one for years and my son in law was over one day and seen him use it and was so excited about it, my husband said we needed to get him one. So he is very hard to buy for so when we were talking about what we were getting everyone for christmas my husband suggested the torch. His eyes lit up when he opened the gift, he could not weight to get home to try it. My daughter texted that night to tell me he was out in the back yard playing with it. Long story/ short it's easy to use on driveways, around flower beds, to start a burn pile. Very handy tool",5,Self igniting torch,1390694400,1,2014,Home and Tools,female,1,1,0,0,119,3
A2G2S9E76XL3Y9,mary,0,1,The attachment for scanning negative film is very flimsy. It is difficult to attach to the scanning unit and does not feed well. I would not recommend this product,1,Unsatisfied,1390521600,1,2014,Home and Tools,female,1,1,0,0,29,1
A21IDZ1P3XYY82,mary,0,1,We already owned one and other family members saw it and loved it.  We bought them for Christmas presents.  They were a hit.,5,Great Product,1389052800,1,2014,Home and Tools,female,1,1,0,0,23,2
A2L9WQ5ZWKKVIC,miss,0,1,This is a light that I installed in my garage and love it. I have plenty of light in all directions. Great for the price.,5,Light,1389052800,1,2014,Home and Tools,female,1,1,0,0,25,1
AZSWYOYUCD81E,nora,0,2,"Disappointed that despite being a universal surge protector, this did not work with Swiss plugs. I had a solo adaptor which I could then plug the power strip into but wasn't sure if I would get the same surge protection. Don't buy this product if you want an adaptor for Switzerland",1,Didn't work with Switzerland plugs,1389916800,1,2014,Home and Tools,female,1,1,0,0,51,5
A36E8PT1SBJ5RB,rita,0,1,This was a gift for our son in law a couple of years ago. As far as I know he liked it a lot.,4,gift,1390435200,1,2014,Home and Tools,female,1,1,0,0,24,1
A36E8PT1SBJ5RB,rita,0,1,This was a gift for our son in law a couple of years ago. As far as I know he liked it,4,gift,1390435200,1,2014,Home and Tools,female,1,1,0,0,22,1
A2YS2AU9PUTSJY,anita,0,1,I bought five of them for all grandsons. Each one loves it and the entire family had fun with it. I regret that i did not buy one for myself.,5,Amazing,1389571200,1,2014,Home and Tools,female,1,1,0,0,30,1
A3K7SNURPN0VE6,cindy,0,1,I unfortunately realized we cant use the clock without a converter from US power to South African power: 220 voltage :-( we cant find one anywhere in SA either :-( so clock is on batteries but we cant project the time onto the ceiling which is why we bought the clock in the first place :-(,1,Check your country power requirements before buying appliances,1390089600,1,2014,Home and Tools,female,1,1,0,0,56,8
A2P6TC146KZ56G,cindy,0,1,Gave this to a grand son for Christmas and it was the hit of the day!  He had had a small one in the past and sadly dropped it...They break!  This one he was careful to guard...,5,A total hit.,1389052800,1,2014,Home and Tools,female,1,1,0,0,37,3
A5QS6OPZFZBR8,diana,0,1,Hard to work with.  Won't stick well to some vinyl windows.  Also does not stick to textured paint.  Already falling down,1,Won't stay up entire season,1389139200,1,2014,Home and Tools,female,0.99,1,0,0,21,5
A18VR08PGDE56R,haley,0,1,Drill was not what I was expected. It was sorry. Drives batteries down to fast. My hands can tighten better than this drill.,1,No use for this drill,1388707200,1,2014,Home and Tools,female,0.99,1,0,0,23,5
A50VXXTNBC3WL,janet,0,1,Product just as described I would rate 5 stars but I won't know about the product life for a while.,4,Great product,1390953600,1,2014,Home and Tools,female,1,1,0,0,20,2
A10WUWE3303INL,jenny,0,1,"I had been reading about these for some time and finally decided to try it one mosquito-less night on a northern Wisconsin lake. Withing 15-20 minutes I had hundreds of little minnow, I guess technically little baby fish, circling the light. They even followed me as I drifted all around for several hours. I never saw any larger fish and didn't get any bites on my minnows that i was jigging but I will try again maybe around some cribs where I know there are pan fish. I assume I just need to get the technique down. I tried all different depths and had fun with it. Worked great.",3,Attracted lots of little fish,1389052800,1,2014,Home and Tools,female,1,1,0,0,109,5
A36AW6IZGNDVX1,julie,0,1,I cannot judge these bulbs.  They sent me 60 watt bulbs instead of 40 watt. I would have left the stars blank if possible.,1,I rec'd 60 watt bulbs,1389657600,1,2014,Home and Tools,female,1,1,0,0,24,5
A2VL8ZE29QK0VB,karen,0,1,"I thought I was purchasing a motion light that would also take a picture, Where it said (camera) it is not. They are still in box don't know what I will do with them .They might work fine just as a security light. I don't know.",2,metioned camera i thought it had a sd card kinda miss leading when it says (Camera),1391126400,1,2014,Home and Tools,female,1,1,0,0,46,16
A2EL7HHL0NW542,katie,0,1,"This thing is AWESOME! You can't beat the price, it's super easy to clean, and the painting results are excellent. Sometimes a simple design is best!",5,The Best Things Since Sliced Bread,1388707200,1,2014,Home and Tools,female,1,1,0,0,26,6
A17SGB0O1TRMSA,luisa,0,1,doesn't  work is very bad material and don't hold anything be advise i wouldn't buy never please uses this remarks,1,dont work,1390435200,1,2014,Home and Tools,female,1,1,0,0,20,2
A19A65J7YW8SRZ,marie,0,1,"Well, I won't know how it performs until I use it, and I hope to not have to use it, but it seems very durable.",3,heavy duty!,1390780800,1,2014,Home and Tools,female,0.99,1,0,0,25,2
A3BRGGBEOC7APA,nancy,0,1,He didn't even take it out of the box.  Just laid it aside.I don't know if he liked it or not.,5,I was ex cited to get this for my son-in-law.,1389052800,1,2014,Home and Tools,female,1,1,0,0,21,10
A2MHUOW68QGPKL,peggy,0,4,"My Rockwell saw uses a 4&#34; total length blade, Bosch says these are 4&#34;, but they are 5&#34; total length. They are 4&#34; blade length.Too bad there is not an industry standard. These blades are not usable in a Rockwell Bladerunner.",1,poor measurement,1389916800,1,2014,Home and Tools,female,1,1,0,0,41,2
