firstname,gender,tokens
aaron,male,"['local', 'lumber', 'yard', 'hardwar', 'dont', 'compon', 'need', 'get', 'veri', 'satisfi', 'great', 'product', 'work', 'onli', 'twice', 'stop', 'work', 'someth', 'definit', 'design', 'wrong', 'psi', 'set', 'buy', 'garbag', 'wast', 'money', 'nightmar', 'emerg', 'situat', 'dont', 'work', 'went', 'thru', 'piec', 'crap', 'junk', 'qualiti', 'tool', 'excel', 'consid', 'price', 'problem', 'didnt', 'includ', 'necessari', 'tool', 'repair', 'razr', 'state', 'descript', 'expect', 'varieti', 'differ', 'size', 'torx', 'driver', 'end', 'size', 't5', 'larger', 'unmark', 'phone', 'requir', 't5', 't3', 'abl', 'file', 'provid', 'flat', 'screw', 'driver', 'enough', 'remov', 't3', 'screw', 'got', 'job', 'without', 'hassl', 'delay', 'ship', 'back', 'set', 'truli', 'assort', 'would', 'given', 'star', 'expect', 'tabl', 'low', 'qualiti', 'size', 'metal', 'thin', 'band', 'metal', 'provid', 'strength', 'metal', 'overal', 'tabl', 'feel', 'filmsi', 'low', 'qualiti', 'metal', 'piec', 'sharp', 'edg', 'recommend', 'item', 'arriv', 'amazon', 'quick', 'tabl', 'quick', 'filmsi', 'would', 'spend', 'get', 'better', 'tabl', 'know', 'smell', 'great', 'great', 'price', 'cant', 'beat', 'plus', 'ladi', 'love', 'realli', 'cant', 'go', 'wrong', 'cologn', 'god', 'yes', 'thick', 'chalki', 'get', 'physic', 'sunblock', 'long', 'work', 'well', 'enough', 'full', 'casper', 'ghost', 'simpli', 'slight', 'shade', 'white', 'onc', 'ok', 'fact', 'wont', 'go', 'super', 'easi', 'like', 'regular', 'sunblock', 'spray', 'fact', 'somewhat', 'whitepurpl', 'great', 'rather', 'issu', 'rub', 'kind', 'crapola', 'plus', 'allow', 'near', 'everywher', 'eg', 'nationalst', 'park', 'ban', 'nonbiodegrad', 'sunblock', 'work', 'well', 'sunburn', 'prove', 'product', 'water', 'alcohol', 'fragranc', 'dont', 'care', 'much', 'spray', 'time', 'leav', 'hous', 'smell', 'evapor', 'spend', 'littl', 'extra', 'get', 'someth', 'frangranc', 'oil', 'cheap', 'price', 'smell', 'doesnt', 'last']"
abigail,female,"['realli', 'dont', 'rememb', 'need', 'product', 'craft', 'product', 'dont', 'rememb', 'whi', 'fiskar', 'powergrip', 'hand', 'drill', 'time', 'home', 'must', 'three', 'boy', 'ani', 'time', 'get', 'sick', 'give', 'use', 'eye', 'nose', 'ear', 'mouth', 'work', 'kill', 'ani', 'virus', 'bacteria', 'etc', 'best', 'antibiot']"
adam,male,"['littl', 'heater', 'plenti', 'strong', 'enough', 'heat', '3car', 'garag', 'ceil', 'decid', 'tri', 'heater', 'base', 'posit', 'review', 'complet', 'satisfi', 'recent', 'experienc', 'degre', 'temp', 'wind', 'chill', 'abl', 'keep', 'garag', 'degre', 'set', 'slight', 'abov', 'medium', 'need', 'work', 'garag', 'bump', 'higher', 'set', 'work', 'comfort', 'jacket', 'littl', 'thing', 'great', 'set', 'heater', 'highest', 'set', 'yet', 'cours', 'import', 'garag', 'insul', 'ceil', 'wall', 'door', 'profession', 'instal', 'amp', 'breaker', 'disconnect', 'switch', 'im', 'onli', 'give', 'star', 'sinc', 'havent', 'receiv', 'first', 'electr', 'bill', 'ill', 'updat', 'review', 'fulli', 'understand', 'higher', 'cost', 'electr', 'vs', 'natur', 'gas', 'chose', 'go', 'rout', 'lowest', 'instal', 'cost', 'im', 'onli', 'use', 'heater', 'month', 'year', 'bottomlin', 'heater', 'excel', 'great', 'heater', 'great', 'price', 'tag', 'bought', 'smoke', 'detector', 'use', 'dine', 'room', 'outsid', 'kitchen', 'typic', 'difficult', 'place', 'smoke', 'detector', 'becaus', 'set', 'normal', 'cook', 'slight', 'burn', 'toast', 'sudden', 'alarm', 'blare', 'hush', 'mode', 'seem', 'like', 'perfect', 'solut', 'utter', 'uselessso', 'far', 'normal', 'thing', 'like', 'cook', 'pizza', 'oven', 'set', 'even', 'though', 'visibl', 'smoke', 'smoke', 'smell', 'hush', 'mode', 'difficult', 'activ', 'seem', 'silenc', 'unit', 'onli', 'second', 'alarm', 'begin', 'go', 'againit', 'bad', 'becaus', 'high', 'hope', 'better', 'smoke', 'detector', 'replac', 'anyth', 'even', 'sensit', 'hush', 'mode', 'joke', 'almost', 'smash', 'floor', 'yesterday', 'frustrat', 'instead', 'im', 'go', 'send', 'back', 'amazon', 'refundif', 'anybodi', 'suggest', 'use', 'smoke', 'detector', 'use', 'near', 'kitchen', 'would', 'love', 'hear', 'hush', 'featur', 'useless', 'ive', 'want', 'one', 'sinc', 'learn', 'danger', 'pose', 'headcrab', 'longer', 'fear', 'interdimension', 'portal', 'crowbar', 'adhes', 'lousi', 'stay', 'attach', 'veri', 'well', 'use', 'tape', 'keep', 'place', 'bad', 'adhes', 'im', 'sure', 'must', 'advertis', 'amount', 'magnesium', 'chlorid', 'tast', 'bad', 'veri', 'difficult', 'swallow', 'unless', 'mix', 'someth', 'arriv', 'advertis', 'tast', 'awe']"
adriana,female,"['expect', 'bought', 'sefora', 'befor', 'dont', 'anymorethank', 'veri', 'much', 'love', 'love', 'line', 'express', 'around', 'mouth', 'improv', 'wok', 'onli', 'take', 'minut', 'day', 'love']"
adriano,male,"['realli', 'love', 'one', 'realli', 'pretti', 'bronzer', 'use', 'correct', 'get', 'nice', 'tan', 'look', 'love']"
adrienne,female,"['great', 'littl', 'devic', 'wish', 'memori', 'storag', 'featur', 'past', 'measur', 'also', 'awar', 'model', 'onli', 'take', '110v', 'applianc', 'consid', 'model', 'take', '240v', 'case', 'want', 'measur', 'exampl', 'dryer', 'work', 'advertis', 'perfect', 'athom', 'peel', 'reduc', 'pore', 'even', 'textur', 'improv', 'skin', 'tone', 'would', 'recommend', 'anyon', 'normal', 'oili', 'skin', 'got', 'mani', 'compliment', 'skin', 'know', 'work', 'wonder', 'product', 'forn', 'home', 'skin', 'care', 'great', 'price']"
agnes,female,"['like', 'product', 'becaus', 'doe', 'claim', 'tell', 'differ', 'overnight', 'rough', 'finger', 'husband', 'get', 'split', 'skin', 'end', 'thumb', 'cream', 'heal', 'daysi', 'alreadi', 'told', 'peopl', 'cream', 'daughter', 'told', 'firsti', 'also', 'order', 'foot', 'cream', 'deliv', 'weekthank', 'much', 'okeeff', 'work', 'hand', 'cream']"
ahmed,male,"['use', 'onc', 'plate', 'stop', 'work', 'upper', 'plate', 'still', 'work', 'product', 'excel', 'durabl', 'could', 'better', 'durabl']"
aimee,female,"['perfect', 'short', 'spiki', 'hair', 'style', 'scent', 'amaz', 'definit', 'men', 'even', 'though', 'rare', 'see', 'review', 'femal', 'femal', 'gatsbi', 'site', 'work', 'great']"
aisha,female,"['bought', 'coupl', 'set', 'year', 'ago', 'healthfood', 'store', 'thought', 'onto', 'someth', 'wonder', 'wrong', 'even', 'care', 'handl', 'wont', 'last', 'break', 'easili', 'appli', 'much', 'pressur', 'nice', 'idea', 'strong', 'durabl']"
